Saya bersedia menjadi responden dalam penelitian ini dan memahami bahwa data yang diberikan hanya akan digunakan untuk keperluan akademik serta dijaga kerahasiaannya.  ,NIM/NPM (Nomor Induk/Pokok Mahasiswa),Preferensi Wisata,Budget,Transportasi,Durasi Perjalanan,Subpreferensi_Utama,Motor,Mobil,Umum,Budget_Ordinal,Durasi_Ordinal,Cluster_ID
"Ya, saya bersedia mengikuti survei ini.",504230834,Wisata Kota/Urban,Lebih dari Rp300.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Lifestyle dan Shopping,1,0,0,3,0,0
"Ya, saya bersedia mengikuti survei ini.",221402052,Wisata Hiburan,Lebih dari Rp300.000,Mobil Pribadi,2 hari/Menginap,Kebun Binatang/Akuarium,0,1,0,3,1,1
"Ya, saya bersedia mengikuti survei ini.",50423002,Wisata Alam,Lebih dari Rp300.000,Sepeda Motor Pribadi,2 hari/Menginap,Pantai,1,0,0,3,1,0
"Ya, saya bersedia mengikuti survei ini.",P17120022005 ,Wisata Alam,Rp150.000 – Rp300.000,Mobil Pribadi,2 hari/Menginap,Pantai,0,1,0,2,1,1
"Ya, saya bersedia mengikuti survei ini.",51423509,Wisata Alam,Lebih dari Rp300.000,"Sepeda Motor Pribadi, Mobil Pribadi",Lebih dari 2 hari,Pegunungan,1,1,0,3,2,1
"Ya, saya bersedia mengikuti survei ini.",50423653,Wisata Kuliner,Rp150.000 – Rp300.000,Transportasi Umum Konvensional,1 hari (tanpa menginap),Street Food,0,0,1,2,0,3
"Ya, saya bersedia mengikuti survei ini.",22B505041005,Wisata Hiburan,Rp150.000 – Rp300.000,"Sepeda Motor Pribadi, Mobil Pribadi, Transportasi Umum Konvensional",1 hari (tanpa menginap),Theme Park/Wahana,1,1,1,2,0,2
"Ya, saya bersedia mengikuti survei ini.",1028758,Wisata Alam,Rp50.000 – Rp150.000,Sepeda Motor Pribadi,2 hari/Menginap,Pantai,1,0,0,1,1,0
"Ya, saya bersedia mengikuti survei ini.",2208541003,Wisata Kota/Urban,Lebih dari Rp300.000,"Sepeda Motor Pribadi, Mobil Pribadi, Transportasi Umum Konvensional",1 hari (tanpa menginap),Lifestyle dan Shopping,1,1,1,3,0,2
"Ya, saya bersedia mengikuti survei ini.",20220311291,Wisata Alam,Rp150.000 – Rp300.000,Transportasi Umum Konvensional,2 hari/Menginap,Pantai,0,0,1,2,1,3
"Ya, saya bersedia mengikuti survei ini.",51423000,Wisata Kuliner,Lebih dari Rp300.000,Transportasi Umum Konvensional,Lebih dari 2 hari,Street Food,0,0,1,3,2,3
"Ya, saya bersedia mengikuti survei ini.",10124050,Wisata Alam,Rp150.000 – Rp300.000,Transportasi Umum Konvensional,1 hari (tanpa menginap),Pantai,0,0,1,2,0,3
"Ya, saya bersedia mengikuti survei ini.",50423139,Wisata Kuliner,Lebih dari Rp300.000,Mobil Pribadi,Lebih dari 2 hari,Cafe,0,1,0,3,2,1
"Ya, saya bersedia mengikuti survei ini.",50423015,Wisata Alam,Rp50.000 – Rp150.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Goa,1,0,0,1,0,0
"Ya, saya bersedia mengikuti survei ini.",231402062,Wisata Alam,Lebih dari Rp300.000,"Sepeda Motor Pribadi, Mobil Pribadi",Lebih dari 2 hari,Pegunungan,1,1,0,3,2,1
"Ya, saya bersedia mengikuti survei ini.",50423970,Wisata Alam,Rp50.000 – Rp150.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Pegunungan,1,0,0,1,0,0
"Ya, saya bersedia mengikuti survei ini.",J1C023042 ,Wisata Alam,Rp50.000 – Rp150.000,Sepeda Motor Pribadi,2 hari/Menginap,Pantai,1,0,0,1,1,0
"Ya, saya bersedia mengikuti survei ini.",51423361,Wisata Alam,Lebih dari Rp300.000,Mobil Pribadi,2 hari/Menginap,Pantai,0,1,0,3,1,1
"Ya, saya bersedia mengikuti survei ini.",50423009,Wisata Alam,Rp150.000 – Rp300.000,"Sepeda Motor Pribadi, Transportasi Umum Konvensional",1 hari (tanpa menginap),Pegunungan,1,0,1,2,0,3
"Ya, saya bersedia mengikuti survei ini.",50423528,Wisata Budaya dan Sejarah,Lebih dari Rp300.000,Sepeda Motor Pribadi,Lebih dari 2 hari,Candi/Situs Bersejarah,1,0,0,3,2,1
"Ya, saya bersedia mengikuti survei ini.",11223073,Wisata Alam,Rp50.000 – Rp150.000,Mobil Pribadi,2 hari/Menginap,Pantai,0,1,0,1,1,1
"Ya, saya bersedia mengikuti survei ini.",51423012,Wisata Budaya dan Sejarah,Kurang dari Rp50.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Museum,1,0,0,0,0,0
"Ya, saya bersedia mengikuti survei ini.",50423476,Wisata Alam,Rp50.000 – Rp150.000,"Sepeda Motor Pribadi, Mobil Pribadi",2 hari/Menginap,Pantai,1,1,0,1,1,0
"Ya, saya bersedia mengikuti survei ini.",51424219,Wisata Budaya dan Sejarah,Kurang dari Rp50.000,Transportasi Umum Konvensional,1 hari (tanpa menginap),Kampung/Desa Adat,0,0,1,0,0,3
"Ya, saya bersedia mengikuti survei ini.",19225105,Wisata Alam,Rp150.000 – Rp300.000,Transportasi Umum Konvensional,2 hari/Menginap,Pantai,0,0,1,2,1,3
"Ya, saya bersedia mengikuti survei ini.",50423270,Wisata Edukasi,Kurang dari Rp50.000,Transportasi Umum Konvensional,1 hari (tanpa menginap),Wisata Sains dan Teknologi,0,0,1,0,0,3
